//X;Y;Z;R;G;B;Number_of_Returns;Return_Number;Time;Intensity
0.77000183;10.94200039;2.20040560;129;122;119;1.000000;1.000000;68264.664063;9084.000000
0.79900181;11.01599979;2.19940567;90;98;108;1.000000;1.000000;68264.664063;9084.000000
0.85600179;11.10500050;2.21340561;98;105;115;1.000000;1.000000;68264.664063;9084.000000
0.92900181;11.33100033;2.19340563;106;107;112;1.000000;1.000000;68264.664063;7786.000000
0.93400180;11.35900021;2.18740559;107;107;115;1.000000;1.000000;68264.664063;7786.000000
0.98600179;11.46399975;2.19040561;107;107;119;1.000000;1.000000;68264.664063;7786.000000
1.00000179;11.49600029;2.18940568;109;111;123;1.000000;1.000000;68264.664063;7786.000000
1.06000185;11.62399960;2.18840575;109;106;113;1.000000;1.000000;68264.664063;7138.000000
1.09700179;11.71300030;2.18240571;108;110;122;1.000000;1.000000;68264.664063;7138.000000
1.10800183;11.74100018;2.17940569;131;138;148;1.000000;1.000000;68264.664063;5840.000000
0.28200179;9.39299965;2.18840575;114;115;109;1.000000;1.000000;68264.710938;9733.000000
0.36600181;9.61400032;2.19840574;69;66;59;1.000000;1.000000;68264.710938;9733.000000
0.92100179;10.27600002;2.43540573;146;134;127;1.000000;1.000000;68264.710938;2595.000000
0.90400177;10.35599995;2.40440559;121;117;105;1.000000;1.000000;68264.710938;3893.000000
0.58700180;10.23900032;2.20540571;140;127;125;1.000000;1.000000;68264.710938;5191.000000
0.58900177;10.27099991;2.19840574;126;117;110;1.000000;1.000000;68264.710938;6489.000000
0.61100179;10.31900024;2.20140576;49;46;34;1.000000;1.000000;68264.710938;6489.000000
0.65000182;10.37899971;2.21340561;42;46;31;1.000000;1.000000;68264.710938;9733.000000
0.72100180;10.55000019;2.21840572;70;68;55;1.000000;1.000000;68264.710938;20764.000000
0.79500180;10.80099964;2.19840574;95;78;70;1.000000;1.000000;68264.710938;9084.000000
0.82500178;10.87699986;2.19740558;138;125;115;1.000000;1.000000;68264.710938;9084.000000
0.84200180;10.91499996;2.19840574;136;122;110;1.000000;1.000000;68264.710938;9084.000000
0.86400181;10.95600033;2.20240569;141;128;119;1.000000;1.000000;68264.710938;8435.000000
0.89100182;11.02600002;2.19940567;100;101;105;1.000000;1.000000;68264.710938;9084.000000
1.00300181;11.29600048;2.19140577;100;106;118;1.000000;1.000000;68264.710938;7786.000000
1.03900182;11.38899994;2.18640566;115;115;125;1.000000;1.000000;68264.710938;7786.000000
1.14600182;11.63300037;2.17540574;124;130;142;1.000000;1.000000;68264.710938;7138.000000
1.16500175;11.66499996;2.17740560;161;167;179;1.000000;1.000000;68264.710938;7138.000000
1.18500185;11.69700050;2.18140578;168;175;185;1.000000;1.000000;68264.710938;7138.000000
1.20000184;11.72700024;2.18040562;166;173;180;1.000000;1.000000;68264.710938;7138.000000
1.20900178;11.75300026;2.17640567;163;170;176;1.000000;1.000000;68264.710938;5840.000000
1.21000183;11.77600002;2.16740561;162;169;178;1.000000;1.000000;68264.710938;7138.000000
0.29900181;9.21899986;2.18440557;162;143;136;1.000000;1.000000;68264.757813;7138.000000
0.31500179;9.27200031;2.18440557;163;144;137;1.000000;1.000000;68264.757813;7138.000000
0.34200180;9.33500004;2.18940568;143;124;117;1.000000;1.000000;68264.757813;7138.000000
0.35900182;9.38599968;2.19040561;171;152;145;1.000000;1.000000;68264.757813;7138.000000
0.41600180;9.54699993;2.19540572;161;142;135;1.000000;1.000000;68264.757813;7138.000000
0.46900180;9.69799995;2.19740558;159;141;129;1.000000;1.000000;68264.757813;8435.000000
0.48800179;9.74800014;2.19940567;152;134;124;1.000000;1.000000;68264.757813;7138.000000
0.54700178;9.93200016;2.19640565;163;145;135;1.000000;1.000000;68264.757813;8435.000000
0.90000182;10.35799980;2.34140563;84;81;68;1.000000;1.000000;68264.757813;3893.000000
0.79400182;10.36999989;2.26140571;59;59;51;1.000000;1.000000;68264.757813;3893.000000
0.70600182;10.33600044;2.20540571;80;81;67;1.000000;1.000000;68264.757813;9084.000000
0.74000180;10.39099979;2.21540570;23;22;21;1.000000;1.000000;68264.757813;13626.000000
0.77300179;10.50199986;2.20740557;157;148;128;1.000000;1.000000;68264.757813;11680.000000
0.80000180;10.57800007;2.20540571;136;120;105;1.000000;1.000000;68264.757813;11680.000000
0.90000182;10.75599957;2.22640562;127;117;81;1.000000;1.000000;68264.757813;17520.000000
0.92100179;10.87699986;2.20240569;125;108;79;1.000000;1.000000;68264.757813;9084.000000
0.93200183;10.91100025;2.20040560;164;138;108;1.000000;1.000000;68264.757813;9733.000000
0.95600182;10.95199966;2.20540571;165;128;101;1.000000;1.000000;68264.757813;16222.000000
0.96700180;10.98400021;2.20240569;161;131;103;1.000000;1.000000;68264.757813;14924.000000
0.98100179;11.04500008;2.19240570;133;123;114;1.000000;1.000000;68264.757813;7786.000000
1.00500178;11.10900021;2.18840575;93;100;110;1.000000;1.000000;68264.757813;7786.000000
1.02500176;11.14500046;2.19040561;98;105;115;1.000000;1.000000;68264.757813;7786.000000
1.04100180;11.17899990;2.19140577;98;105;115;1.000000;1.000000;68264.757813;7786.000000
1.05200183;11.20899963;2.18840575;98;105;115;1.000000;1.000000;68264.757813;7786.000000
1.09800184;11.30799961;2.18840575;108;114;126;1.000000;1.000000;68264.757813;7786.000000
1.16700184;11.46100044;2.18340564;104;110;122;1.000000;1.000000;68264.757813;7786.000000
1.16800177;11.48400021;2.17440557;112;118;130;1.000000;1.000000;68264.757813;7786.000000
1.18000185;11.51399994;2.17240572;123;129;141;1.000000;1.000000;68264.757813;7138.000000
1.21800184;11.57699966;2.17640567;156;162;174;1.000000;1.000000;68264.757813;5191.000000
1.23500180;11.60799980;2.17740560;178;184;196;1.000000;1.000000;68264.757813;5191.000000
1.23900175;11.65400028;2.16140556;157;164;174;1.000000;1.000000;68264.757813;5191.000000
1.23800182;11.67500019;2.15140557;154;161;171;1.000000;1.000000;68264.757813;5191.000000
1.23300183;11.69499969;2.13740563;151;158;168;1.000000;1.000000;68264.765625;5191.000000
1.23000181;11.71599960;2.12640572;148;154;166;1.000000;1.000000;68264.765625;5191.000000
1.22800183;11.75800037;2.10540557;145;152;162;1.000000;1.000000;68264.765625;5191.000000
1.28400183;11.84700012;2.11140561;150;154;165;1.000000;1.000000;68264.765625;3893.000000
